Epoch,StartTime,TrainLoss,TrainAcc,ValLoss,ValAcc,DurationSeconds
1,2025-04-21 22:55:47,285.3614,0.2014,64.8013,0.2847,2214.68
2,2025-04-21 23:32:42,253.1826,0.3125,58.9739,0.3958,2249.24
3,2025-04-22 00:10:12,226.1079,0.3993,50.2523,0.4965,2054.53
4,2025-04-22 00:44:26,191.8826,0.5000,43.5861,0.5694,2016.12
5,2025-04-22 01:18:02,153.3449,0.5920,38.9311,0.5799,1989.03
6,2025-04-22 01:51:11,122.6462,0.6832,36.3085,0.6215,1981.50
7,2025-04-22 02:24:13,101.0754,0.7543,34.1588,0.6389,1997.92
8,2025-04-22 02:57:31,73.3178,0.8247,32.5970,0.6875,1985.94
9,2025-04-22 03:30:37,45.0525,0.9028,31.1391,0.6944,2014.64
10,2025-04-22 04:04:11,34.4203,0.9210,37.3725,0.6458,2059.89
11,2025-04-22 04:38:31,25.4550,0.9479,39.7593,0.6632,2021.90
12,2025-04-22 05:12:13,23.3638,0.9453,44.9273,0.6111,2027.73
13,2025-04-22 05:46:01,20.0447,0.9575,40.6655,0.6667,2003.07
14,2025-04-22 06:19:24,14.3269,0.9670,40.9226,0.6771,2042.04
15,2025-04-22 06:53:27,6.9266,0.9878,47.0633,0.6701,2015.49
16,2025-04-22 07:27:03,8.0700,0.9870,63.6142,0.5868,2048.50
17,2025-04-22 08:01:11,9.6649,0.9818,44.0135,0.6562,2034.64
18,2025-04-22 08:35:06,9.0985,0.9844,44.2836,0.6910,2030.40
19,2025-04-22 09:08:57,3.3639,0.9965,52.6054,0.6806,2020.94
20,2025-04-22 09:42:38,8.2909,0.9826,43.2531,0.7153,2023.36
21,2025-04-22 10:16:21,3.3211,0.9939,58.1636,0.6736,2013.34
22,2025-04-22 10:49:55,13.1688,0.9731,49.3069,0.6562,2006.56
23,2025-04-22 11:23:22,9.7956,0.9748,45.4232,0.6910,1999.83
24,2025-04-22 11:56:41,4.3046,0.9905,49.0620,0.6667,2013.48
25,2025-04-22 12:30:15,2.4661,0.9948,53.5475,0.6562,2011.95
26,2025-04-22 13:03:47,6.5989,0.9878,47.0560,0.6771,2010.61
27,2025-04-22 13:37:18,5.0975,0.9870,59.3607,0.6285,2016.52
28,2025-04-22 14:10:55,7.0214,0.9809,50.0560,0.6597,2018.18
29,2025-04-22 14:44:33,3.6633,0.9939,51.7275,0.6632,2006.11
30,2025-04-22 15:18:00,1.4971,0.9991,57.9413,0.6632,2015.91
